0:18,1,17,3,4,16,11,19,8,9
1:0,18,17,3,4,16,11,19,8,9
2:0,1,16,3,4,14,11,17,8,9
3:0,1,17,18,4,16,11,19,8,9
4:0,1,17,3,18,16,11,19,8,9
5:0,1,16,3,4,17,19,18,8,9
6:0,1,11,3,4,16,17,18,8,9
7:0,1,17,3,4,16,19,18,8,9
8:0,1,17,3,4,16,11,19,18,9
9:0,1,17,3,4,16,11,19,8,18
10:0,1,17,3,4,16,19,18,8,9
11:0,1,17,3,4,16,18,19,8,9
12:0,1,19,3,4,14,16,17,8,9
13:0,1,19,3,4,16,17,18,8,9
14:0,1,19,3,4,18,16,17,8,9
15:0,1,19,3,4,16,17,7,8,9
16:0,1,11,3,4,17,18,19,8,9
17:0,1,11,3,4,16,18,19,8,9
18:0,1,11,3,4,16,17,19,8,9
19:0,1,11,3,4,16,17,18,8,9
